inaturalist;mykis
angiospermae;LAUBHOLZ/LAUBBAUM
pinopsida;NADELHOLZ/NADELBAUM
gliridae;Bilch
harmonia axyridis;Asiatischer Marienkäfer
capreolus capreolus;Reh
castoridae;Biber
dama dama;Damwild
carnivore;Fleischfresser
bos taurus;Hausrind
sus scrofa;Wildschwein
sus scrofa domestica;Hausschwein
capra aegagrus hircus;Hausziege
canis lupus familiaris;Hund, Haushund
coleoptera;KÄFER
coccinellidae;MARIENKÄFER
ovis orientalis;Mufflon
equus caballus;Pferd
vulpes vulpes;Rotfuchs
cervus elaphus;Rothirsch
lepidoptera;SCHMETTERLINGE
heteroptera;WANZEN
bubalus arnee;Wasserbüffel
oryctolagus cuniculus;Wildkaninchen
